iter	Passed	Remaining
0	132	131965
1	133	66650
2	134	44840
3	136	33871
4	137	27269
5	137	22858
6	140	19920
7	141	17558
8	142	15702
9	143	14219
10	144	12996
11	145	11967
12	146	11095
13	147	10358
14	148	9720
15	148	9155
16	149	8654
17	150	8208
18	151	7810
19	152	7461
20	154	7221
21	155	6932
22	157	6669
23	158	6427
24	158	6196
25	159	5982
26	160	5782
27	161	5596
28	162	5425
29	162	5265
30	163	5115
31	164	4975
32	165	4843
33	166	4720
34	168	4642
35	169	4536
36	170	4434
37	171	4337
38	172	4242
39	172	4151
40	173	4065
41	174	3987
42	175	3912
43	176	3838
44	177	3766
45	178	3696
46	179	3630
47	179	3566
48	181	3514
49	182	3466
50	183	3416
51	184	3364
52	185	3315
53	186	3269
54	187	3224
55	188	3183
56	189	3142
57	190	3101
58	191	3059
59	192	3017
60	193	2976
61	194	2937
62	194	2899
63	196	2877
64	198	2851
65	199	2818
66	200	2788
67	201	2761
68	202	2729
69	203	2698
70	204	2669
71	204	2640
72	205	2612
73	206	2584
74	207	2559
75	208	2535
76	209	2510
77	212	2514
78	213	2494
79	215	2472
80	215	2448
81	216	2425
82	217	2398
83	217	2376
84	218	2355
85	219	2333
86	220	2312
87	221	2292
88	221	2272
89	222	2252
90	223	2233
91	224	2218
92	226	2212
93	228	2198
94	228	2181
95	229	2163
96	230	2146
97	231	2129
98	232	2112
99	232	2096
100	233	2080
101	234	2066
102	235	2051
103	236	2037
104	237	2025
105	238	2013
106	240	2009
107	241	1995
108	242	1981
109	243	1968
110	244	1955
111	245	1943
112	246	1931
113	246	1918
114	247	1905
115	248	1893
116	249	1879
117	249	1867
118	250	1855
119	251	1845
120	252	1836
121	254	1834
122	256	1827
123	257	1820
124	258	1810
125	259	1799
126	260	1788
127	261	1779
128	262	1770
129	263	1761
130	264	1753
131	265	1744
132	266	1735
133	267	1725
134	267	1716
135	269	1713
136	270	1705
137	271	1696
138	272	1687
139	273	1680
140	274	1673
141	275	1663
142	276	1655
143	277	1648
144	278	1640
145	279	1634
146	280	1627
147	281	1620
148	282	1612
149	283	1609
150	285	1605
151	286	1598
152	287	1591
153	288	1583
154	289	1576
155	290	1569
156	290	1562
157	291	1554
158	292	1548
159	293	1542
160	294	1533
161	295	1526
162	295	1519
163	296	1512
164	297	1506
165	299	1505
166	300	1500
167	301	1494
168	302	1488
169	303	1481
170	304	1475
171	305	1468
172	305	1462
173	306	1457
174	307	1451
175	308	1446
176	309	1439
177	310	1433
178	311	1427
179	312	1421
180	313	1417
181	315	1417
182	316	1412
183	317	1407
184	318	1401
185	318	1395
186	319	1389
187	320	1384
188	321	1379
189	322	1374
190	323	1369
191	324	1364
192	325	1360
193	326	1355
194	326	1349
195	328	1347
196	329	1344
197	330	1339
198	331	1334
199	332	1328
200	333	1324
201	334	1321
202	335	1317
203	336	1312
204	337	1307
205	337	1302
206	338	1297
207	339	1292
208	340	1287
209	341	1283
210	342	1281
211	344	1281
212	345	1277
213	346	1272
214	347	1269
215	348	1265
216	349	1260
217	350	1256
218	351	1252
219	351	1247
220	352	1243
221	353	1239
222	354	1234
223	355	1230
224	355	1226
225	357	1223
226	358	1222
227	359	1218
228	360	1214
229	361	1211
230	362	1207
231	363	1203
232	364	1199
233	365	1194
234	365	1190
235	366	1186
236	367	1182
237	368	1179
238	369	1175
239	370	1172
240	370	1168
241	372	1166
242	374	1165
243	375	1162
244	376	1159
245	377	1156
246	378	1153
247	379	1150
248	380	1147
249	381	1144
250	382	1140
251	383	1136
252	383	1133
253	384	1129
254	385	1126
255	387	1125
256	388	1123
257	389	1120
258	390	1117
259	391	1113
260	392	1110
261	392	1106
262	393	1103
263	394	1100
264	395	1097
265	396	1094
266	397	1090
267	398	1087
268	398	1083
269	399	1080
270	400	1077
271	403	1079
272	404	1077
273	405	1074
274	406	1071
275	407	1067
276	407	1064
277	408	1061
278	409	1058
279	410	1055
280	411	1052
281	412	1049
282	412	1046
283	413	1043
284	414	1040
285	415	1037
286	417	1037
287	418	1035
288	419	1032
289	420	1029
290	421	1026
291	422	1023
292	422	1020
293	423	1017
294	424	1014
295	425	1011
296	426	1008
297	427	1005
298	427	1003
299	428	1000
300	429	997
301	430	994
302	432	994
303	433	993
304	435	991
305	435	988
306	436	986
307	437	983
308	438	981
309	439	978
310	440	976
311	441	973
312	442	970
313	443	967
314	443	965
315	444	963
316	447	963
317	448	962
318	449	959
319	450	957
320	451	954
321	452	952
322	453	949
323	453	946
324	454	944
325	455	941
326	456	939
327	457	936
328	458	934
329	459	932
330	460	929
331	463	933
332	464	931
333	465	928
334	466	926
335	467	924
336	468	922
337	469	920
338	471	918
339	472	918
340	473	916
341	475	913
342	476	913
343	478	911
344	478	909
345	479	907
346	480	905
347	482	903
348	482	900
349	484	898
350	485	896
351	486	895
352	487	893
353	488	891
354	491	893
355	493	892
356	494	890
357	495	889
358	496	887
359	497	884
360	498	882
361	500	881
362	501	879
363	502	877
364	503	875
365	504	874
366	506	874
367	507	872
368	508	870
369	509	868
370	510	866
371	511	863
372	512	861
373	513	859
374	514	857
375	515	855
376	516	853
377	517	851
378	518	849
379	520	849
380	521	848
381	522	846
382	523	843
383	524	841
384	525	839
385	527	838
386	527	836
387	528	833
388	529	831
389	530	829
390	531	827
391	531	825
392	532	822
393	534	822
394	535	820
395	536	818
396	537	816
397	538	814
398	539	812
399	540	810
400	541	808
401	541	806
402	542	803
403	543	801
404	544	799
405	545	798
406	546	796
407	547	794
408	548	792
409	550	791
410	551	790
411	552	788
412	553	786
413	554	785
414	555	783
415	556	781
416	557	779
417	558	776
418	558	774
419	559	772
420	560	770
421	561	768
422	562	766
423	565	767
424	566	766
425	567	764
426	568	762
427	569	760
428	570	759
429	571	757
430	572	755
431	573	753
432	574	751
433	574	749
434	575	747
435	576	745
436	577	744
437	579	744
438	581	742
439	582	741
440	583	739
441	584	737
442	585	735
443	585	733
444	586	731
445	587	729
446	588	727
447	589	726
448	590	724
449	590	722
450	591	720
451	592	718
452	593	717
453	594	715
454	596	714
455	596	712
456	597	710
457	598	708
458	599	706
459	600	704
460	601	703
461	602	701
462	602	699
463	603	697
464	604	695
465	605	693
466	606	691
467	606	689
468	610	690
469	611	689
470	612	687
471	613	685
472	614	684
473	614	682
474	615	680
475	616	678
476	617	677
477	618	675
478	619	673
479	619	671
480	620	669
481	621	668
482	623	667
483	625	666
484	626	665
485	627	663
486	628	662
487	629	660
488	630	658
489	630	656
490	631	654
491	632	653
492	633	651
493	634	649
494	635	647
495	635	646
496	636	644
497	639	644
498	640	643
499	641	641
500	642	640
501	643	638
502	644	636
503	644	634
504	645	632
505	646	631
506	647	629
507	650	629
508	651	628
509	652	626
510	653	625
511	654	623
512	655	621
513	655	620
514	656	618
515	657	617
516	658	615
517	659	613
518	660	611
519	661	610
520	662	608
521	664	608
522	665	607
523	667	606
524	668	604
525	669	603
526	670	601
527	671	600
528	672	598
529	673	597
530	674	596
531	675	594
532	676	593
533	678	592
534	680	591
535	681	589
536	682	588
537	683	586
538	684	585
539	685	583
540	685	582
541	686	580
542	688	579
543	689	577
544	689	575
545	690	574
546	691	572
547	692	571
548	694	570
549	695	569
550	696	567
551	697	566
552	698	564
553	699	562
554	700	561
555	701	559
556	702	558
557	703	556
558	703	555
559	704	553
560	705	552
561	706	550
562	707	548
563	709	548
564	709	546
565	710	544
566	711	543
567	712	541
568	713	540
569	713	538
